"Contig.Start.Stop"	"gene_ID"	"Fst"	"Year"
"000000F:913589:914176"	"ID=PCA_SD_00178"	0.0137393613151962	"1990_2015"
"000000F:573010:574463"	"ID=PCA_SD_00103"	0.0312221231043711	"1990_2015"
"000000F:563401:564799"	"ID=PCA_SD_00101"	0.104507658153879	"1990_2015"
"000000F:289774:290331"	"ID=PCA_SD_00060"	0.0309946654061719	"1990_2015"
"000000F:814467:815420"	"ID=PCA_SD_00152"	0.0384969996579483	"1990_2015"
"000000F:829776:830141"	"ID=PCA_SD_00156"	0	"1990_2015"
"000000F:1231366:1232296"	"ID=PCA_SD_00244"	0.0705493727633802	"1990_2015"
"000001F:624410:624709"	"ID=PCA_SD_02120"	0.00131502045587373	"1990_2015"
"000001F:374182:374945"	"ID=PCA_SD_02087"	-0.00148224527937102	"1990_2015"
"000001F:430597:431094"	"ID=PCA_SD_02096"	0.146337717546888	"1990_2015"
"000001F:746177:746739"	"ID=PCA_SD_02142"	0	"1990_2015"
"000001F:509952:510230"	"ID=PCA_SD_02106"	0.0184163546388604	"1990_2015"
"000005F:593093:594625"	"ID=PCA_SD_00898"	0.131613854089904	"1990_2015"
"000005F:567015:567533"	"ID=PCA_SD_00890"	0.0331320355403113	"1990_2015"
"000005F:135027:137543"	"ID=PCA_SD_00806"	0.14643122425552	"1990_2015"
"000005F:675481:676957"	"ID=PCA_SD_00908"	0.111422719340707	"1990_2015"
"000005F:453023:453535"	"ID=PCA_SD_00866"	-0.0142300371612434	"1990_2015"
"000005F:433651:434266"	"ID=PCA_SD_00860"	0.0128329297820824	"1990_2015"
"000003F:244887:245654"	"ID=PCA_SD_00495"	0.213795784171613	"1990_2015"
"000003F:603463:603823"	"ID=PCA_SD_00566"	-0.0105932203389829	"1990_2015"
"000003F:572220:572558"	"ID=PCA_SD_00561"	0.145816518697875	"1990_2015"
"000003F:435336:435903"	"ID=PCA_SD_00535"	0.0480862438680493	"1990_2015"
"000003F:46631:46951"	"ID=PCA_SD_00457"	0.0229701267051157	"1990_2015"
"000003F:367061:367573"	"ID=PCA_SD_00521"	0.0484132708258205	"1990_2015"
"000003F:384634:385410"	"ID=PCA_SD_00525"	0.0204017576898933	"1990_2015"
"000003F:204499:204931"	"ID=PCA_SD_00483"	0.0272449128259921	"1990_2015"
"000004F:762397:762771"	"ID=PCA_SD_00428"	0.295728433361174	"1990_2015"
"000004F:430073:430447"	"ID=PCA_SD_00356"	0.32601880877743	"1990_2015"
"000004F:614511:615329"	"ID=PCA_SD_00393"	0.425287356321839	"1990_2015"
"000004F:645023:645978"	"ID=PCA_SD_00401"	0	"1990_2015"
"000004F:360671:360919"	"ID=PCA_SD_00335"	0.103448275862069	"1990_2015"
"000002F:548341:549195"	"ID=PCA_SD_01038"	NA	NA
"000002F:513558:514490"	"ID=PCA_SD_01033"	NA	NA
"000002F:379458:379772"	"ID=PCA_SD_01003"	NA	NA
"000002F:34349:34733"	"ID=PCA_SD_00941"	NA	NA
"000007F:777045:777887"	"ID=PCA_SD_02534"	0.0225330663583293	"1990_2015"
"000008F:359628:360358"	"ID=PCA_SD_01147"	0.0981432360742707	"1990_2015"
"000008F:715224:715916"	"ID=PCA_SD_01218"	0	"1990_2015"
"000008F:675097:675729"	"ID=PCA_SD_01213"	0.0140529050543221	"1990_2015"
"000008F:671948:672723"	"ID=PCA_SD_01212"	0.028537455410226	"1990_2015"
"000008F:123907:124824"	"ID=PCA_SD_01104"	-0.0208711433756805	"1990_2015"
"000008F:760033:760609"	"ID=PCA_SD_01226"	-0.0143957147639771	"1990_2015"
"000008F:277841:278209"	"ID=PCA_SD_01130"	0	"1990_2015"
"000008F:320858:321430"	"ID=PCA_SD_01137"	0.0268372601029804	"1990_2015"
"000008F:652711:653520"	"ID=PCA_SD_01208"	0.128749234850031	"1990_2015"
"000006F:272786:273406"	"ID=PCA_SD_00671"	NA	NA
"000006F:642113:642862"	"ID=PCA_SD_00750"	NA	NA
"000006F:384851:385879"	"ID=PCA_SD_00688"	NA	NA
"000006F:766973:767712"	"ID=PCA_SD_00779"	NA	NA
"000006F:620486:621467"	"ID=PCA_SD_00743"	NA	NA
"000009F:735389:735977"	"ID=PCA_SD_01510"	0.08573236317621	"1990_2015"
