"Contig.Start.Stop"	"gene_ID"	"NO BT Fst_1990"	"NO BT Fst_2015"	"BT Fst_1990"	"BT Fst_2015"	"MN BT Fst_1990"	"MN BT Fst_2015"
"000000F:913589:914176"	"ID=PCA_SD_00178"	0.0886687898756776	0.0161720336392824	0.0735445876613106	0.0686787583339307	0.0450230871965251	0.0144646569646569
"000000F:573010:574463"	"ID=PCA_SD_00103"	-0.00175208822175099	-0.0694646569646569	0.00106034158305424	-0.0411439788089534	-0.0154071189969835	-0.0565887021354892
"000000F:563401:564799"	"ID=PCA_SD_00101"	-0.00336901880417462	0.0322024151811384	-0.0171106389633491	-0.00240909433110015	-0.0245151712791551	-0.026854880358065
"000000F:289774:290331"	"ID=PCA_SD_00060"	-0.0472465726783289	0.0476244951864674	-0.0429497927826101	0.00719473446746177	-0.043926194584631	0.0974627114203086
"000000F:814467:815420"	"ID=PCA_SD_00152"	0.00397625570770388	-0.0624745083600182	0.0226189682667332	-0.044837055796167	-0.0178106393017174	-0.0496982282777099
"000000F:829776:830141"	"ID=PCA_SD_00156"	0	0	0	0	0	0
"000000F:1231366:1232296"	"ID=PCA_SD_00244"	0.0237514251404304	0.193373509829206	0.0259193122788095	0.071834885147213	0.0335810832677103	0.186962895735883
"000001F:624410:624709"	"ID=PCA_SD_02120"	-0.0400421640842139	0.224173260144483	-0.0391603413635935	0.0529018360343662	-0.0333164751095365	0.0709415904946631
"000001F:374182:374945"	"ID=PCA_SD_02087"	0.00574681589662684	-0.0392215411260894	-0.00627578243603222	-0.0318292846809958	0.0133046408441753	-0.0508708146503423
"000001F:430597:431094"	"ID=PCA_SD_02096"	0.057596481157442	-0.0125849091647583	0.0281813548774622	-0.00402972225954645	0.00185536392898134	0.0214190403289404
"000001F:746177:746739"	"ID=PCA_SD_02142"	0	0	0	0	0	0
"000001F:509952:510230"	"ID=PCA_SD_02106"	-0.0153007478879827	-0.0193051221800788	-0.00906279964125445	-0.0149845621441655	-0.0164854286846576	-0.010766732494814
"000005F:593093:594625"	"ID=PCA_SD_00898"	0.0465324384787473	-0.0107072993148942	0.0330618112122665	-0.0203175203175203	-0.0039852851011648	0.00363700523828647
"000005F:567015:567533"	"ID=PCA_SD_00890"	0	0.0605406622976169	-0.0322580645161288	0.00158481306022296	-0.0208333333333333	0.0426559453796808
"000005F:135027:137543"	"ID=PCA_SD_00806"	-0.0280172413793103	0.0189161669306075	0.0819672131147541	-0.010342905079747	0.016304347826087	-0.000732699362836264
"000005F:675481:676957"	"ID=PCA_SD_00908"	-0.0244211861718997	-0.0466062700189238	-0.0598238688126327	-0.0213838527296788	-0.013684744044602	0.0202519380334997
"000005F:453023:453535"	"ID=PCA_SD_00866"	0	-0.0292168644349582	0	0.0162385876671589	0	-0.0322127197127198
"000005F:433651:434266"	"ID=PCA_SD_00860"	-0.0820895522388061	0.0370997305908549	-0.0675675675675675	0.0664459658090231	-0.0636942675159236	-0.0259178687013739
"000003F:244887:245654"	"ID=PCA_SD_00495"	0.0161639089214651	0	-0.0171936860502828	0	-0.00425791581657031	0
"000003F:603463:603823"	"ID=PCA_SD_00566"	0.126158980338547	0	0.142805386432288	-0.064516129032258	0.0285036747061646	-0.0465116279069766
"000003F:572220:572558"	"ID=PCA_SD_00561"	0.0519401237144228	0	0.00397328905677896	0	0.0517602170483277	0
"000003F:435336:435903"	"ID=PCA_SD_00535"	-0.00183835272772925	-0.147838214783822	0.00807024443830373	-0.121834360027378	-0.0114613770962038	-0.12856196156395
"000003F:46631:46951"	"ID=PCA_SD_00457"	-0.0436468912228589	0.0509708737864077	-0.0393088710553475	-0.0287253141831236	-0.0382776897772181	-0.0657193605683835
"000003F:367061:367573"	"ID=PCA_SD_00521"	0.108265526496412	-0.150375939849624	0.0460852337941912	-0.00593119810201648	0.0511704520581476	0.00118623962040332
"000003F:384634:385410"	"ID=PCA_SD_00525"	0.00139316232816911	0.278560250391236	-0.0162446014821167	0.117199391171994	-0.00407546141067439	0.230842911877395
