"Contig.Start.Stop"	"gene_ID"	"CLR 1990"	"CLR 2015"
"000000F:1231366:1232296"	"ID=PCA_SD_00244"	22.7462698757226	23.365798777984
"000000F:289774:290331"	"ID=PCA_SD_00060"	26.9547741016255	26.6227136978921
"000000F:563401:564799"	"ID=PCA_SD_00101"	36.9286570270053	32.8649808370819
"000000F:573010:574463"	"ID=PCA_SD_00103"	24.2394757344059	32.9840927662422
"000000F:814467:815420"	"ID=PCA_SD_00152"	84.8021150559261	83.7130847779444
"000000F:829776:830141"	"ID=PCA_SD_00156"	NA	NA
"000000F:913589:914176"	"ID=PCA_SD_00178"	32.8661468307134	38.8058045800193
"000001F:374182:374945"	"ID=PCA_SD_02087"	62.7370820178018	39.8656729416893
"000001F:430597:431094"	"ID=PCA_SD_02096"	66.2766939378133	94.6150318350439
"000001F:509952:510230"	"ID=PCA_SD_02106"	32.0153465289595	21.2269520412165
"000001F:624410:624709"	"ID=PCA_SD_02120"	10.6801339255023	7.25606705781996
"000001F:746177:746739"	"ID=PCA_SD_02142"	NA	NA
"000002F:34349:34733"	"ID=PCA_SD_00941"	9.72020909534679	11.091074281639
"000002F:379458:379772"	"ID=PCA_SD_01003"	13.3776506963591	16.0578176982194
"000002F:513558:514490"	"ID=PCA_SD_01033"	23.0807482696301	19.3667878990637
"000002F:548341:549195"	"ID=PCA_SD_01038"	39.7613835857173	31.5062649395462
"000003F:204499:204931"	"ID=PCA_SD_00483"	19.7764009857359	NA
"000003F:244887:245654"	"ID=PCA_SD_00495"	121.467053211536	NA
"000003F:367061:367573"	"ID=PCA_SD_00521"	11.7105216198203	6.52373241643237
"000003F:384634:385410"	"ID=PCA_SD_00525"	16.9396019580544	6.86367894057064
"000003F:435336:435903"	"ID=PCA_SD_00535"	29.8329997818485	19.428616282584
"000003F:46631:46951"	"ID=PCA_SD_00457"	65.0188155119236	69.6915468816609
"000003F:572220:572558"	"ID=PCA_SD_00561"	9.59091559282759	NA
"000003F:603463:603823"	"ID=PCA_SD_00566"	22.7332339731491	21.1118096070172
"000004F:360671:360919"	"ID=PCA_SD_00335"	11.4214778741732	8.70960965585168
"000004F:430073:430447"	"ID=PCA_SD_00356"	20.6454057602346	18.5700087846145
"000004F:614511:615329"	"ID=PCA_SD_00393"	9.74842705663539	7.87427607389833
"000004F:645023:645978"	"ID=PCA_SD_00401"	46.2101641107899	49.0027192502861
"000004F:762397:762771"	"ID=PCA_SD_00428"	17.1075230436082	18.2494865878237
"000005F:135027:137543"	"ID=PCA_SD_00806"	14.2678379705549	18.7219045843813
"000005F:433651:434266"	"ID=PCA_SD_00860"	19.1342520350466	21.7623376224732
"000005F:453023:453535"	"ID=PCA_SD_00866"	NA	11.3704689154137
"000005F:567015:567533"	"ID=PCA_SD_00890"	19.5337313190154	12.1208435827872
"000005F:593093:594625"	"ID=PCA_SD_00898"	70.100471137653	65.7596261910618
"000005F:675481:676957"	"ID=PCA_SD_00908"	64.2301096017452	53.2868305809647
"000006F:272786:273406"	"ID=PCA_SD_00671"	5.71281747547686	14.409804971385
"000006F:384851:385879"	"ID=PCA_SD_00688"	17.4885107218701	35.7335629480788
"000006F:620486:621467"	"ID=PCA_SD_00743"	12.3987278473449	50.7402822962135
"000006F:642113:642862"	"ID=PCA_SD_00750"	39.5924256814146	33.1430468531004
"000006F:766973:767712"	"ID=PCA_SD_00779"	51.4153572792917	65.5543353494779
"000007F:777045:777887"	"ID=PCA_SD_02534"	43.6465881476741	38.6230555962645
"000008F:123907:124824"	"ID=PCA_SD_01104"	42.9982415864749	21.8821302791384
"000008F:277841:278209"	"ID=PCA_SD_01130"	10.7845882439069	14.6773493402049
"000008F:320858:321430"	"ID=PCA_SD_01137"	53.1260901763237	65.9116645609225
"000008F:359628:360358"	"ID=PCA_SD_01147"	61.5462068097168	45.9127618605747
"000008F:652711:653520"	"ID=PCA_SD_01208"	63.4052967285511	84.2760215138105
"000008F:671948:672723"	"ID=PCA_SD_01212"	41.6790476230447	47.7289875818891
"000008F:675097:675729"	"ID=PCA_SD_01213"	26.3679164276622	33.7908169982946
"000008F:715224:715916"	"ID=PCA_SD_01218"	15.9040909367287	15.8898168370835
"000008F:760033:760609"	"ID=PCA_SD_01226"	19.5456728793968	17.147767127326
"000009F:195700:196406"	"ID=PCA_SD_01403"	147.093610271708	134.421075299429
"000009F:360939:361466"	"ID=PCA_SD_01439"	23.3016180804677	20.9590770261817
"000009F:53591:53956"	"ID=PCA_SD_01372"	6.62689726428622	7.99601750407239
"000009F:571032:571626"	"ID=PCA_SD_01474"	NA	NA
"000009F:579690:580284"	"ID=PCA_SD_01476"	NA	NA
"000009F:588348:588942"	"ID=PCA_SD_01478"	NA	NA
"000009F:730428:731021"	"ID=PCA_SD_01508"	NA	NA
"000009F:735389:735977"	"ID=PCA_SD_01510"	28.6812622950935	26.8268286422626
"000009F:737455:738021"	"ID=PCA_SD_01511"	19.5125038730464	18.8155992990047
"000010F:388043:388350"	"ID=PCA_SD_01707"	22.9370474905682	22.4517609633542
"000010F:560312:561495"	"ID=PCA_SD_01745"	107.185552549411	88.7409938014889
"000010F:562670:563837"	"ID=PCA_SD_01746"	206.256354947482	178.31570859483
"000011F:493637:494534"	"ID=PCA_SD_01871"	23.9369436650048	7.03726986900574
"000011F:503335:503767"	"ID=PCA_SD_01875"	19.7870250122641	8.76557613812971
"000013F:119632:120696"	"ID=PCA_SD_01247"	23.1147047884757	23.4763143323763
"000013F:158835:159475"	"ID=PCA_SD_01254"	100.224690564637	73.8300032861484
"000013F:305464:306299"	"ID=PCA_SD_01286"	24.8042854564819	25.3626234451504
"000013F:333916:334353"	"ID=PCA_SD_01294"	6.1617801637886	78.5199161924755
"000013F:356292:356714"	"ID=PCA_SD_01301"	5.71281747547686	4.50089499136375
"000013F:551960:552792"	"ID=PCA_SD_01339"	17.3456086427968	10.4994503980879
"000013F:554010:554634"	"ID=PCA_SD_01340"	3.46073713877743	NA
"000013F:566446:567283"	"ID=PCA_SD_01341"	31.3093838015183	36.00715993091
"000013F:569107:569742"	"ID=PCA_SD_01342"	11.2994558838435	6.476205427528
"000014F:145456:146442"	"ID=PCA_SD_02192"	22.9306991356471	25.3838078260604
"000014F:167310:168305"	"ID=PCA_SD_02199"	14.477433849558	17.9494619968645
"000014F:208569:209084"	"ID=PCA_SD_02206"	20.5137955643226	17.4293946353305
"000014F:219603:219956"	"ID=PCA_SD_02208"	42.7889474233012	41.5746928651755
"000014F:403664:404496"	"ID=PCA_SD_02234"	12.4894054291294	7.03726986900574
"000014F:423333:424152"	"ID=PCA_SD_02238"	11.6186474294463	6.37694841891768
"000014F:425480:426288"	"ID=PCA_SD_02239"	31.5991981783275	23.1049802345968
"000014F:450496:451300"	"ID=PCA_SD_02247"	54.1512567365972	65.1196843410818
"000015F:147661:148251"	"ID=PCA_SD_01939"	20.4375873887112	73.0941111554938
