"Contig.Start.Stop"	"gene_ID"	"Tajima's D 1990"	"Tajima's D 2015"
"000000F:1231366:1232296"	"ID=PCA_SD_00244"	0.775430726223598	0.370588397933102
"000000F:289774:290331"	"ID=PCA_SD_00060"	1.45344933682561	1.64304091681601
"000000F:563401:564799"	"ID=PCA_SD_00101"	-0.388533688576391	-1.20621335833763
"000000F:573010:574463"	"ID=PCA_SD_00103"	-0.000303516374004572	-0.357484801271525
"000000F:814467:815420"	"ID=PCA_SD_00152"	1.61998688014564	1.41829278702718
"000000F:829776:830141"	"ID=PCA_SD_00156"	NA	NA
"000000F:913589:914176"	"ID=PCA_SD_00178"	0.854737024621361	0.190486353213639
"000001F:374182:374945"	"ID=PCA_SD_02087"	-0.598802285075778	1.80508596005146
"000001F:430597:431094"	"ID=PCA_SD_02096"	0.12539086062629	2.43955728273467
"000001F:509952:510230"	"ID=PCA_SD_02106"	1.34863129309499	1.31772213946667
"000001F:624410:624709"	"ID=PCA_SD_02120"	-0.461260670641578	0.782542910308954
"000001F:746177:746739"	"ID=PCA_SD_02142"	NA	NA
"000002F:34349:34733"	"ID=PCA_SD_00941"	0.305467959066058	1.69294790225491
"000002F:379458:379772"	"ID=PCA_SD_01003"	-0.587989637745612	1.42070960227717
"000002F:513558:514490"	"ID=PCA_SD_01033"	0.999386056767277	-0.239751403988133
"000002F:548341:549195"	"ID=PCA_SD_01038"	0.235795695539816	-2.15850861621349
"000003F:204499:204931"	"ID=PCA_SD_00483"	-1.29800186699673	NA
"000003F:244887:245654"	"ID=PCA_SD_00495"	2.30902166178978	NA
"000003F:367061:367573"	"ID=PCA_SD_00521"	1.34168832217946	1.62103783059164
"000003F:384634:385410"	"ID=PCA_SD_00525"	0.714209115944653	0.215727506404464
"000003F:435336:435903"	"ID=PCA_SD_00535"	0.0190112826596011	2.12602362048237
"000003F:46631:46951"	"ID=PCA_SD_00457"	2.42820380500062	-0.425874454859274
"000003F:572220:572558"	"ID=PCA_SD_00561"	-0.151164893141217	NA
"000003F:603463:603823"	"ID=PCA_SD_00566"	1.96787503347761	-1.15311179272869
"000004F:360671:360919"	"ID=PCA_SD_00335"	0.821553943990807	-0.594742696185218
"000004F:430073:430447"	"ID=PCA_SD_00356"	0.382893635875062	1.04203210448749
"000004F:614511:615329"	"ID=PCA_SD_00393"	-1.03282201278727	1.72930663412551
"000004F:645023:645978"	"ID=PCA_SD_00401"	0.888891637064192	0.865045631112335
"000004F:762397:762771"	"ID=PCA_SD_00428"	1.69777744801242	1.81278674246857
"000005F:135027:137543"	"ID=PCA_SD_00806"	-0.795907499350576	1.6329761759397
"000005F:433651:434266"	"ID=PCA_SD_00860"	-1.01258184943526	1.19587885788259
"000005F:453023:453535"	"ID=PCA_SD_00866"	NA	0.0920148161417888
"000005F:567015:567533"	"ID=PCA_SD_00890"	-1.73163501045019	1.19758182778953
"000005F:593093:594625"	"ID=PCA_SD_00898"	-2.03453189951959	-1.90398403922594
"000005F:675481:676957"	"ID=PCA_SD_00908"	0.575442725759626	2.18357319173927
"000006F:272786:273406"	"ID=PCA_SD_00671"	-1.14699765644371	0.897940082021959
"000006F:384851:385879"	"ID=PCA_SD_00688"	-0.889816675603448	1.64691378496622
"000006F:620486:621467"	"ID=PCA_SD_00743"	-0.374406433164406	1.91311768809656
"000006F:642113:642862"	"ID=PCA_SD_00750"	1.08365618726195	-0.184890976170497
"000006F:766973:767712"	"ID=PCA_SD_00779"	-2.28686948083292	0.912937485358748
"000007F:777045:777887"	"ID=PCA_SD_02534"	2.93574118090113	3.36721469034761
"000008F:123907:124824"	"ID=PCA_SD_01104"	0.861300844877425	1.769693951934
"000008F:277841:278209"	"ID=PCA_SD_01130"	-0.0709260955176908	0.164068063336754
"000008F:320858:321430"	"ID=PCA_SD_01137"	1.08214820827493	2.28430678314527
