"Contig.Start.Stop"	"gene_ID"	"Nucleotide Diversity 1990"	"Nucleotide Diversity 2015"
"000000F:1231366:1232296"	"ID=PCA_SD_00244"	0.00153410159782022	0.00133444992626846
"000000F:289774:290331"	"ID=PCA_SD_00060"	0.00311746957454995	0.0026942470080797
"000000F:563401:564799"	"ID=PCA_SD_00101"	0.00186291257274163	0.000566587110244202
"000000F:573010:574463"	"ID=PCA_SD_00103"	0.00250701357641884	0.00168170408535969
"000000F:814467:815420"	"ID=PCA_SD_00152"	0.0071705219770458	0.0065510665766502
"000000F:829776:830141"	"ID=PCA_SD_00156"	0	0
"000000F:913589:914176"	"ID=PCA_SD_00178"	0.004317998385795	0.00274318767054845
"000001F:374182:374945"	"ID=PCA_SD_02087"	0.00546410506699796	0.00506256100807525
"000001F:430597:431094"	"ID=PCA_SD_02096"	0.0102976879268486	0.0161107707666825
"000001F:509952:510230"	"ID=PCA_SD_02106"	0.0082194277382905	0.00921977198631108
"000001F:624410:624709"	"ID=PCA_SD_02120"	0.00164595103578154	0.00115065913370998
"000001F:746177:746739"	"ID=PCA_SD_02142"	0	0
"000002F:34349:34733"	"ID=PCA_SD_00941"	0.00192824125027515	0.00221733069190696
"000002F:379458:379772"	"ID=PCA_SD_01003"	0.00254685678414492	0.00350461841987266
"000002F:513558:514490"	"ID=PCA_SD_01033"	0.00164102191460631	0.00103123997069171
"000002F:548341:549195"	"ID=PCA_SD_01038"	0.00164932104271979	0.000272904483430799
"000003F:204499:204931"	"ID=PCA_SD_00483"	0.00109993345598309	0
"000003F:244887:245654"	"ID=PCA_SD_00495"	0.0111221457156309	0
"000003F:367061:367573"	"ID=PCA_SD_00521"	0.00149227431415954	0.00100378660572248
"000003F:384634:385410"	"ID=PCA_SD_00525"	0.00146514553294214	0.000369827956034853
"000003F:435336:435903"	"ID=PCA_SD_00535"	0.00456055542293308	0.00253763963088878
"000003F:46631:46951"	"ID=PCA_SD_00457"	0.0148036679162927	0.00750528162709922
"000003F:572220:572558"	"ID=PCA_SD_00561"	0.00115327566954986	0
"000003F:603463:603823"	"ID=PCA_SD_00566"	0.00354946241607587	0.00106982519820422
"000004F:360671:360919"	"ID=PCA_SD_00335"	0.00255031425135571	0.00112313661425362
"000004F:430073:430447"	"ID=PCA_SD_00356"	0.00332806026365348	0.00337928436911488
"000004F:614511:615329"	"ID=PCA_SD_00393"	0.000376647834274953	0.000614639597690445
"000004F:645023:645978"	"ID=PCA_SD_00401"	0.00296314682173841	0.00266352268160651
"000004F:762397:762771"	"ID=PCA_SD_00428"	0.0031834274952919	0.00328286252354049
"000005F:135027:137543"	"ID=PCA_SD_00806"	0.00019910585033268	0.000595723094258477
"000005F:433651:434266"	"ID=PCA_SD_00860"	0.000992685475444096	0.00215533054516105
"000005F:453023:453535"	"ID=PCA_SD_00866"	0	0.000881047565555445
"000005F:567015:567533"	"ID=PCA_SD_00890"	0.000633401988793657	0.00140535362441897
"000005F:593093:594625"	"ID=PCA_SD_00898"	0.000821767850582211	0.000950833084568864
"000005F:675481:676957"	"ID=PCA_SD_00908"	0.00241247013595437	0.00283289153077891
"000006F:272786:273406"	"ID=PCA_SD_00671"	0.000107353730542136	0.00150477178234486
"000006F:384851:385879"	"ID=PCA_SD_00688"	0.000641176010634139	0.00301592792080513
"000006F:620486:621467"	"ID=PCA_SD_00743"	0.000648453777184727	0.00436846283958715
"000006F:642113:642862"	"ID=PCA_SD_00750"	0.00278620689655172	0.0015864406779661
"000006F:766973:767712"	"ID=PCA_SD_00779"	0.000810810810810811	0.0042189647274393
"000007F:777045:777887"	"ID=PCA_SD_02534"	0.00335028918779447	0.0036183659381681
"000008F:123907:124824"	"ID=PCA_SD_01104"	0.00509828539074136	0.00205309995938112
"000008F:277841:278209"	"ID=PCA_SD_01130"	0.00168113545542235	0.00127386584600309
"000008F:320858:321430"	"ID=PCA_SD_01137"	0.00911941313929068	0.00930280711095335
"000008F:359628:360358"	"ID=PCA_SD_01147"	0.00728589425521884	0.0042330373221421
"000008F:652711:653520"	"ID=PCA_SD_01208"	0.0119229964427705	0.012237567133989
"000008F:671948:672723"	"ID=PCA_SD_01212"	0.0026595899586464	0.00213538936455239
"000008F:675097:675729"	"ID=PCA_SD_01213"	0.00517489133442222	0.00430199659053382
"000008F:715224:715916"	"ID=PCA_SD_01218"	0.00127750466733518	0.00130114706385893
"000008F:760033:760609"	"ID=PCA_SD_01226"	0.00166847810122492	0.00169491525423729
"000009F:195700:196406"	"ID=PCA_SD_01403"	0.0192130351049633	0.0136592109574154
"000009F:360939:361466"	"ID=PCA_SD_01439"	0.00354926382468755	0.00359527478171546
"000009F:53591:53956"	"ID=PCA_SD_01372"	0.000642153684665493	0.00116699083078633
"000009F:571032:571626"	"ID=PCA_SD_01474"	0	0
"000009F:579690:580284"	"ID=PCA_SD_01476"	0	0
"000009F:588348:588942"	"ID=PCA_SD_01478"	0	0
"000009F:730428:731021"	"ID=PCA_SD_01508"	0	0
"000009F:735389:735977"	"ID=PCA_SD_01510"	0.0029754539437714	0.00309631377514316
"000009F:737455:738021"	"ID=PCA_SD_01511"	0.00265247760539663	0.00294542592094381
"000010F:388043:388350"	"ID=PCA_SD_01707"	0.00467018856849365	0.00261207718834837
"000010F:560312:561495"	"ID=PCA_SD_01745"	0.00884199877843946	0.00333209268590625
