"sample_name"	"gene_ID"	"fraction_gene_missing"
"15FL1-2"	"ID=PCA_SD_00060"	0
"15FL1-2"	"ID=PCA_SD_00101"	0
"15FL1-2"	"ID=PCA_SD_00103"	0
"15FL1-2"	"ID=PCA_SD_00152"	0
"15FL1-2"	"ID=PCA_SD_00156"	1
"15FL1-2"	"ID=PCA_SD_00178"	0
"15FL1-2"	"ID=PCA_SD_00244"	0
"15FL1-2"	"ID=PCA_SD_00335"	0
"15FL1-2"	"ID=PCA_SD_00356"	0
"15FL1-2"	"ID=PCA_SD_00393"	0
"15FL1-2"	"ID=PCA_SD_00401"	0
"15FL1-2"	"ID=PCA_SD_00428"	0
"15FL1-2"	"ID=PCA_SD_00457"	0
"15FL1-2"	"ID=PCA_SD_00483"	0
"15FL1-2"	"ID=PCA_SD_00495"	0
"15FL1-2"	"ID=PCA_SD_00521"	0
"15FL1-2"	"ID=PCA_SD_00525"	0
"15FL1-2"	"ID=PCA_SD_00535"	0
"15FL1-2"	"ID=PCA_SD_00561"	0
"15FL1-2"	"ID=PCA_SD_00566"	0
"15FL1-2"	"ID=PCA_SD_00671"	0
"15FL1-2"	"ID=PCA_SD_00688"	0
"15FL1-2"	"ID=PCA_SD_00743"	0
"15FL1-2"	"ID=PCA_SD_00750"	0
"15FL1-2"	"ID=PCA_SD_00779"	0
"15FL1-2"	"ID=PCA_SD_00806"	0
"15FL1-2"	"ID=PCA_SD_00860"	0
"15FL1-2"	"ID=PCA_SD_00866"	0
"15FL1-2"	"ID=PCA_SD_00890"	0
"15FL1-2"	"ID=PCA_SD_00898"	0
"15FL1-2"	"ID=PCA_SD_00908"	0
"15FL1-2"	"ID=PCA_SD_00941"	0
"15FL1-2"	"ID=PCA_SD_01003"	0
"15FL1-2"	"ID=PCA_SD_01033"	0
"15FL1-2"	"ID=PCA_SD_01038"	0
"15FL1-2"	"ID=PCA_SD_01104"	0.7058823
"15FL1-2"	"ID=PCA_SD_01130"	0
"15FL1-2"	"ID=PCA_SD_01137"	0
"15FL1-2"	"ID=PCA_SD_01147"	0
"15FL1-2"	"ID=PCA_SD_01208"	0
"15FL1-2"	"ID=PCA_SD_01212"	0
"15FL1-2"	"ID=PCA_SD_01213"	0.3917852
"15FL1-2"	"ID=PCA_SD_01218"	0
"15FL1-2"	"ID=PCA_SD_01226"	0
"15FL1-2"	"ID=PCA_SD_01247"	0
"15FL1-2"	"ID=PCA_SD_01254"	0
"15FL1-2"	"ID=PCA_SD_01286"	0
"15FL1-2"	"ID=PCA_SD_01294"	0
"15FL1-2"	"ID=PCA_SD_01301"	0
"15FL1-2"	"ID=PCA_SD_01339"	0
"15FL1-2"	"ID=PCA_SD_01340"	0
"15FL1-2"	"ID=PCA_SD_01341"	0
"15FL1-2"	"ID=PCA_SD_01342"	0
"15FL1-2"	"ID=PCA_SD_01372"	0
"15FL1-2"	"ID=PCA_SD_01403"	0
"15FL1-2"	"ID=PCA_SD_01439"	0
"15FL1-2"	"ID=PCA_SD_01474"	0
"15FL1-2"	"ID=PCA_SD_01476"	0
"15FL1-2"	"ID=PCA_SD_01478"	0
"15FL1-2"	"ID=PCA_SD_01508"	0
"15FL1-2"	"ID=PCA_SD_01510"	0
"15FL1-2"	"ID=PCA_SD_01511"	0
"15FL1-2"	"ID=PCA_SD_01521"	0
"15FL1-2"	"ID=PCA_SD_01525"	0
"15FL1-2"	"ID=PCA_SD_01533"	0
"15FL1-2"	"ID=PCA_SD_01556"	0
"15FL1-2"	"ID=PCA_SD_01566"	0
"15FL1-2"	"ID=PCA_SD_01612"	0
"15FL1-2"	"ID=PCA_SD_01630"	0
"15FL1-2"	"ID=PCA_SD_01631"	0
"15FL1-2"	"ID=PCA_SD_01707"	0
"15FL1-2"	"ID=PCA_SD_01745"	0
"15FL1-2"	"ID=PCA_SD_01746"	0
"15FL1-2"	"ID=PCA_SD_01871"	0
"15FL1-2"	"ID=PCA_SD_01875"	0
"15FL1-2"	"ID=PCA_SD_01924"	0
"15FL1-2"	"ID=PCA_SD_01939"	0
"15FL1-2"	"ID=PCA_SD_01946"	0
"15FL1-2"	"ID=PCA_SD_01975"	0
"15FL1-2"	"ID=PCA_SD_01984"	0
"15FL1-2"	"ID=PCA_SD_01990"	0
"15FL1-2"	"ID=PCA_SD_02001"	0
"15FL1-2"	"ID=PCA_SD_02087"	0
"15FL1-2"	"ID=PCA_SD_02096"	0
"15FL1-2"	"ID=PCA_SD_02106"	0
"15FL1-2"	"ID=PCA_SD_02120"	0
"15FL1-2"	"ID=PCA_SD_02142"	0
"15FL1-2"	"ID=PCA_SD_02192"	0
"15FL1-2"	"ID=PCA_SD_02199"	0
"15FL1-2"	"ID=PCA_SD_02206"	0
"15FL1-2"	"ID=PCA_SD_02208"	0
"15FL1-2"	"ID=PCA_SD_02234"	0
"15FL1-2"	"ID=PCA_SD_02238"	0
"15FL1-2"	"ID=PCA_SD_02239"	0
"15FL1-2"	"ID=PCA_SD_02247"	0
"15FL1-2"	"ID=PCA_SD_02299"	0
"15FL1-2"	"ID=PCA_SD_02307"	0
"15FL1-2"	"ID=PCA_SD_02313"	0
"15FL1-2"	"ID=PCA_SD_02315"	0
"15FL1-2"	"ID=PCA_SD_02322"	0
"15FL1-2"	"ID=PCA_SD_02334"	0
"15FL1-2"	"ID=PCA_SD_02343"	0
"15FL1-2"	"ID=PCA_SD_02373"	0
"15FL1-2"	"ID=PCA_SD_02390"	0.099359
"15FL1-2"	"ID=PCA_SD_02534"	0
"15FL1-2"	"ID=PCA_SD_02664"	0
"15FL1-2"	"ID=PCA_SD_02669"	0
"15FL1-2"	"ID=PCA_SD_02673"	0
"15FL1-2"	"ID=PCA_SD_02691"	0
"15FL1-2"	"ID=PCA_SD_02708"	0
"15FL1-2"	"ID=PCA_SD_02756"	0
"15FL1-2"	"ID=PCA_SD_02769"	0
"15FL1-2"	"ID=PCA_SD_02816"	0
"15FL1-2"	"ID=PCA_SD_02826"	0
"15FL1-2"	"ID=PCA_SD_02913"	0
"15FL1-2"	"ID=PCA_SD_02952"	0
"15FL1-2"	"ID=PCA_SD_02970"	0
"15FL1-2"	"ID=PCA_SD_02977"	0
"15FL1-2"	"ID=PCA_SD_03053"	0
"15FL1-2"	"ID=PCA_SD_03067"	0
"15FL1-2"	"ID=PCA_SD_03068"	0
"15FL1-2"	"ID=PCA_SD_03085"	0
"15FL1-2"	"ID=PCA_SD_03105"	0
"15FL1-2"	"ID=PCA_SD_03140"	0
"15FL1-2"	"ID=PCA_SD_03166"	0
"15FL1-2"	"ID=PCA_SD_03255"	0
"15FL1-2"	"ID=PCA_SD_03307"	0
"15FL1-2"	"ID=PCA_SD_03391"	0
"15FL1-2"	"ID=PCA_SD_03405"	0
"15FL1-2"	"ID=PCA_SD_03458"	0
"15FL1-2"	"ID=PCA_SD_03502"	0
"15FL1-2"	"ID=PCA_SD_03518"	0
"15FL1-2"	"ID=PCA_SD_03540"	0
"15FL1-2"	"ID=PCA_SD_03614"	0
"15FL1-2"	"ID=PCA_SD_03628"	0
"15FL1-2"	"ID=PCA_SD_03629"	0
"15FL1-2"	"ID=PCA_SD_03708"	0
"15FL1-2"	"ID=PCA_SD_03711"	0
"15FL1-2"	"ID=PCA_SD_03740"	0
"15FL1-2"	"ID=PCA_SD_03832"	0
"15FL1-2"	"ID=PCA_SD_03835"	0
"15FL1-2"	"ID=PCA_SD_03854"	0
"15FL1-2"	"ID=PCA_SD_03855"	0
"15FL1-2"	"ID=PCA_SD_03863"	0
"15FL1-2"	"ID=PCA_SD_03868"	0
"15FL1-2"	"ID=PCA_SD_03888"	0
"15FL1-2"	"ID=PCA_SD_03891"	0
"15FL1-2"	"ID=PCA_SD_03904"	0
"15FL1-2"	"ID=PCA_SD_03997"	0
"15FL1-2"	"ID=PCA_SD_04019"	0
"15FL1-2"	"ID=PCA_SD_04021"	0
"15FL1-2"	"ID=PCA_SD_04096"	0
"15FL1-2"	"ID=PCA_SD_04126"	0
"15FL1-2"	"ID=PCA_SD_04131"	0
"15FL1-2"	"ID=PCA_SD_04143"	0
"15FL1-2"	"ID=PCA_SD_04145"	0
"15FL1-2"	"ID=PCA_SD_04172"	0
"15FL1-2"	"ID=PCA_SD_04180"	0.8227513
"15FL1-2"	"ID=PCA_SD_04192"	0
"15FL1-2"	"ID=PCA_SD_04212"	0
"15FL1-2"	"ID=PCA_SD_04215"	0
"15FL1-2"	"ID=PCA_SD_04229"	0
"15FL1-2"	"ID=PCA_SD_04234"	0
"15FL1-2"	"ID=PCA_SD_04280"	0
"15FL1-2"	"ID=PCA_SD_04303"	0
"15FL1-2"	"ID=PCA_SD_04349"	0
"15FL1-2"	"ID=PCA_SD_04412"	0
"15FL1-2"	"ID=PCA_SD_04435"	0
"15FL1-2"	"ID=PCA_SD_04500"	0
"15FL1-2"	"ID=PCA_SD_04504"	0
"15FL1-2"	"ID=PCA_SD_04506"	0
"15FL1-2"	"ID=PCA_SD_04543"	0
"15FL1-2"	"ID=PCA_SD_04554"	0
